source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
0,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
0,264
0,265
0,266
0,267
0,268
0,269
0,270
0,271
0,272
0,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
0,283
0,284
0,285
0,286
0,287
0,288
0,289
0,290
0,291
0,292
0,293
0,294
0,295
0,296
0,297
0,298
0,299
0,300
0,301
0,302
0,303
0,304
0,305
0,306
0,307
0,308
0,309
0,310
0,311
0,312
0,313
0,314
0,315
0,316
0,317
0,318
0,319
0,320
0,321
0,322
0,323
0,324
0,325
0,326
0,327
0,328
0,329
0,330
0,331
0,332
0,333
0,334
0,335
0,336
0,337
0,338
0,339
0,340
0,341
0,342
0,343
0,344
0,345
0,346
0,347
1,48
1,53
1,54
1,73
1,88
1,92
1,119
1,126
1,133
1,194
1,236
1,280
1,299
1,315
1,322
1,346
2,20
2,115
2,116
2,149
2,226
2,312
2,326
2,333
2,343
3,9
3,25
3,26
3,67
3,72
3,85
3,122
3,142
3,170
3,188
3,200
3,228
3,274
3,280
3,283
3,323
4,78
4,152
4,181
4,195
4,218
4,273
4,275
4,306
4,328
5,87
5,122
5,156
5,158
5,169
5,180
5,187
5,204
5,213
5,235
5,315
5,316
6,89
6,95
6,147
6,219
6,319
7,22
7,31
7,38
7,65
7,87
7,103
7,129
7,136
7,168
7,213
7,246
7,291
7,304
7,308
7,315
7,322
7,339
7,340
7,347
8,91
8,110
8,193
8,201
8,245
8,259
8,264
9,21
9,25
9,26
9,30
9,56
9,66
9,67
9,69
9,72
9,75
9,79
9,85
9,105
9,113
9,119
9,122
9,128
9,133
9,134
9,141
9,142
9,148
9,156
9,161
9,169
9,170
9,176
9,185
9,186
9,188
9,199
9,200
9,203
9,224
9,231
9,232
9,252
9,258
9,271
9,272
9,276
9,277
9,280
9,285
9,291
9,295
9,297
9,304
9,315
9,322
9,323
9,329
9,334
9,341
9,342
10,67
10,142
10,169
10,200
10,277
10,285
10,291
10,323
10,332
13,21
13,26
13,56
13,59
13,65
13,67
13,82
13,98
13,109
13,118
13,119
13,148
13,172
13,188
13,199
13,211
13,223
13,236
13,238
13,239
13,252
13,261
13,265
13,271
13,277
13,304
13,313
13,325
13,332
13,342
14,20
14,28
14,41
14,115
14,116
14,144
14,149
14,151
14,214
14,226
14,310
14,312
14,326
14,343
16,29
16,82
16,118
16,172
16,261
16,329
16,331
16,332
17,19
17,41
17,111
17,115
17,116
17,137
17,140
17,144
17,214
17,310
17,312
17,326
19,41
19,89
19,112
19,115
19,138
19,174
19,175
19,214
19,227
19,289
19,293
19,312
19,319
19,343
20,41
20,44
20,111
20,115
20,149
20,162
20,214
20,226
20,312
20,326
20,333
20,343
21,25
21,26
21,31
21,39
21,40
21,55
21,56
21,66
21,67
21,88
21,98
21,104
21,105
21,108
21,109
21,119
21,121
21,122
21,123
21,127
21,134
21,136
21,142
21,159
21,161
21,165
21,169
21,170
21,184
21,186
21,188
21,197
21,200
21,203
21,212
21,223
21,232
21,235
21,236
21,239
21,248
21,251
21,252
21,271
21,272
21,274
21,277
21,280
21,281
21,284
21,297
21,304
21,308
21,313
21,315
21,322
21,323
21,325
21,332
21,334
21,342
21,345
22,87
22,158
22,168
22,185
22,277
22,308
22,324
22,339
22,347
23,51
23,61
23,83
23,99
23,116
23,124
23,144
23,155
23,175
23,190
23,227
23,230
23,237
23,240
23,245
23,267
24,53
24,57
24,80
24,92
24,94
24,101
24,180
24,187
24,194
24,242
24,249
24,266
24,299
24,302
24,346
25,26
25,31
25,39
25,40
25,51
25,56
25,65
25,67
25,69
25,72
25,73
25,76
25,79
25,83
25,84
25,88
25,94
25,98
25,103
25,104
25,105
25,113
25,119
25,122
25,130
25,141
25,148
25,158
25,169
25,170
25,176
25,185
25,186
25,188
25,199
25,200
25,203
25,221
25,224
25,231
25,232
25,236
25,237
25,239
25,246
25,252
25,257
25,270
25,271
25,272
25,276
25,277
25,280
25,283
25,285
25,288
25,290
25,291
25,297
25,322
25,323
25,325
25,331
25,332
25,336
26,40
26,55
26,56
26,62
26,66
26,67
26,69
26,72
26,79
26,98
26,104
26,109
26,113
26,118
26,119
26,122
26,123
26,128
26,133
26,134
26,141
26,142
26,158
26,161
26,169
26,170
26,172
26,176
26,185
26,186
26,188
26,199
26,200
26,203
26,212
26,223
26,224
26,232
26,236
26,239
26,248
26,252
26,257
26,265
26,271
26,276
26,277
26,280
26,285
26,291
26,295
26,297
26,298
26,304
26,308
26,313
26,315
26,322
26,323
26,325
26,332
26,334
27,54
27,119
27,324
27,329
28,41
28,115
28,116
28,140
28,144
28,149
28,151
28,226
28,310
28,312
28,326
29,40
29,82
29,106
29,118
29,172
29,203
29,211
29,231
29,247
29,252
29,338
30,48
30,56
30,73
30,178
30,188
30,200
30,213
30,224
30,236
30,271
30,303
30,304
30,322
30,329
30,331
31,51
31,67
31,83
31,84
31,109
31,122
31,129
31,142
31,168
31,200
31,237
