source,target
788,715
596,573
749,536
950,670
825,693
898,858
513,820
980,839
788,951
804,700
682,551
500,573
901,753
717,699
700,860
613,513
552,916
956,997
871,902
708,564
512,601
862,500
636,858
910,692
687,960
713,917
712,578
706,872
851,787
917,609
665,548
813,735
788,602
983,816
696,550
693,625
692,775
576,764
947,625
796,548
524,539
868,717
824,662
700,946
963,790
558,946
593,688
732,508
639,621
736,504
812,847
790,609
974,679
742,937
879,940
875,871
668,929
747,663
804,738
836,764
705,699
742,661
526,896
613,555
961,673
933,873
857,504
944,665
976,634
751,677
961,822
771,855
548,502
959,913
913,558
581,854
841,588
854,897
952,656
518,976
658,560
909,774
579,925
728,559
995,563
951,728
869,652
765,949
541,956
557,510
862,915
730,878
545,807
919,870
792,547
505,764
848,833
936,628
948,624
631,547
816,914
552,927
912,685
517,765
906,845
532,921
779,607
917,869
548,583
753,939
688,551
542,818
843,584
956,624
520,576
807,744
533,704
840,669
897,769
795,762
878,892
714,708
857,616
535,957
595,522
573,711
643,701
985,735
942,697
687,546
652,557
697,514
623,998
911,585
723,761
854,543
514,633
591,994
710,765
807,884
612,533
561,551
819,738
577,737
903,970
811,769
860,738
994,819
931,993
824,589
999,987
520,741
746,560
675,893
548,711
596,847
685,872
524,508
926,571
700,532
639,503
724,875
761,940
959,868
911,920
857,725
859,682
635,644
936,674
770,534
804,831
693,922
638,733
937,759
559,739
692,921
818,700
804,770
716,838
656,548
968,939
715,645
945,603
557,867
575,677
796,718
755,820
690,994
619,588
718,974
690,933
717,960
899,533
680,677
619,745
825,747
581,956
552,678
721,606
922,855
897,644
896,744
666,658
919,879
898,549
508,915
507,506
617,765
625,994
971,825
582,626
930,650
621,576
863,683
896,922
522,721
913,750
593,951
932,894
802,757
935,1000
829,763
736,779
717,849
565,919
798,623
966,813
693,539
777,823
755,949
674,962
550,698
506,959
665,790
571,820
623,910
833,536
997,964
523,617
942,638
892,683
690,930
921,646
813,679
807,705
657,950
974,503
826,786
944,725
783,543
700,549
862,825
795,609
992,911
776,716
596,795
992,636
514,639
691,559
848,714
538,853
538,791
636,853
558,971
855,873
722,506
643,638
873,528
922,655
775,552
797,775
755,814
858,835
985,573
783,676
949,930
779,724
902,799
986,656
814,784
777,591
717,765
528,841
988,734
527,806
614,509
894,738
803,868
822,972
802,982
933,974
600,991
658,835
590,576
561,614
943,703
675,956
804,505
907,871
733,580
824,687
906,765
860,782
854,800
525,893
802,706
674,830
718,787
687,691
700,545
956,603
886,637
939,723
953,547
967,899
997,741
532,967
572,518
551,905
539,507
501,570
954,1000
846,844
751,824
649,540
798,730
777,907
829,710
770,884
788,936
829,506
910,557
811,564
805,544
782,765
917,909
969,986
588,957
893,950
675,973
743,561
755,638
521,733
669,703
877,622
640,554
523,890
650,792
748,531
873,707
686,891
838,884
920,967
805,740
724,739
799,580
704,625
660,581
974,851
938,725
959,834
854,752
613,802
720,913
811,607
575,749
697,516
545,874
762,757
786,590
871,924
964,959
574,522
985,971
721,519
580,750
659,669
959,673
879,690
756,648
528,734
555,963
681,603
651,697
1000,666
707,597
869,585
858,500
637,960
774,892
714,882
514,893
678,598
914,970
766,633
831,624
630,759
778,633
570,606
986,552
984,750
677,863
680,885
895,999
974,550
582,535
923,818
705,812
676,787
830,973
595,508
968,687
991,649
992,551
757,747
589,991
981,593
808,945
746,752
585,611
690,758
747,761
999,975
876,902
730,840
999,546
968,810
532,715
983,838
884,595
701,979
691,762
656,526
775,833
594,966
944,717
779,848
847,982
608,739
664,899
949,946
827,745
672,880
790,689
797,665
975,523
993,593
724,865
687,602
729,744
924,572
990,762
793,521
551,607
955,782
982,798
544,503
725,641
544,743
676,889
587,948
669,710
829,878
716,655
732,988
600,840
717,597
602,959
562,967
883,689
632,625
755,902
880,529
649,945
552,648
706,857
808,996
949,965
995,594
706,619
879,991
632,634
552,633
566,883
677,663
641,779
611,948
942,907
656,969
745,809
526,726
763,632
910,760
991,906
594,851
507,981
