source,target
4194,18
4193,4978
4562,4970
255,46
4506,211
3966,198
4297,4706
4783,266
6000,4832
2927,31
5303,4832
4458,69
4266,211
4617,4372
4266,198
5483,31
4354,266
312,18
34,208
264,182
376,198
219,220
264,187
83,169
4133,198
3942,198
5434,198
60,211
30,4228
4592,198
4614,18
5784,5785
264,323
4329,81
4462,198
4129,198
225,69
83,311
22,23
296,31
4191,3908
4952,211
4322,266
3937,81
4613,31
4455,69
778,198
3928,31
4354,81
26,55
26,56
4593,266
4431,198
4519,198
4347,31
4542,198
4005,211
61,165
61,166
83,146
4643,4228
5811,18
4218,31
4375,198
206,266
26,27
4448,198
3964,198
34,242
4297,5439
304,198
46,47
5995,4832
3973,81
3939,198
4081,198
4117,211
711,295
4374,198
56,27
3806,211
5613,465
4605,69
34,202
4322,75
5573,266
6001,6002
4778,266
61,196
5382,198
30,75
4832,6000
313,295
5483,81
4510,46
65,40
4450,69
167,168
4285,31
4597,266
4223,31
225,226
4528,198
4379,31
4603,226
5963,198
270,69
264,204
375,75
4779,46
4329,266
5335,4832
4478,18
5338,211
4537,81
4641,31
4584,266
24,25
4500,31
5195,4832
176,177
333,4683
3976,81
5179,4832
4455,31
4879,2342
5991,4832
26,68
151,207
210,69
26,62
54,165
54,166
3940,198
4018,31
4098,198
4950,211
83,190
5014,211
4494,69
4502,198
5373,18
193,27
4656,75
83,346
43,44
34,172
4191,75
28,287
307,508
4615,75
4577,211
4569,211
4193,827
4379,75
333,198
4296,81
3802,3814
4016,81
3931,211
4204,266
4527,31
323,69
4200,81
5263,5429
117,27
4689,5482
4439,266
66,67
194,27
4455,198
299,31
5608,198
185,27
320,198
46,4634
54,68
4356,2455
66,205
54,62
4601,198
4022,4422
4430,266
4643,5782
4627,266
59,27
45,27
325,326
931,368
5723,5181
26,178
61,178
5189,4832
4832,5173
4195,198
46,118
4537,266
5014,31
5993,4832
3909,31
30,198
61,68
26,196
4916,75
52,69
61,62
5955,81
49,27
4524,198
151,68
4647,198
55,27
163,27
4664,211
273,27
5483,198
3805,31
294,81
3913,18
34,35
5003,325
34,38
736,737
5053,18
4291,198
4590,266
151,62
3951,198
4611,211
34,224
34,227
864,865
34,228
4476,198
4379,266
3935,295
4578,198
4170,4418
4578,31
4114,198
4558,198
4356,1559
4604,31
3935,198
83,330
54,27
4523,5723
4559,18
5996,4832
4454,198
3937,75
283,198
4784,211
83,114
4477,198
4906,266
22,370
4778,793
54,55
4597,31
54,56
4747,6004
335,211
4747,6003
61,27
4152,69
4664,31
4641,198
151,27
4469,211
54,178
4313,266
307,3740
4100,31
5444,198
4216,198
4437,266
4353,198
4442,31
5063,4696
4618,295
4404,69
5754,266
4906,81
4354,198
4584,81
151,56
167,27
151,55
5783,31
4664,266
4025,198
247,69
3783,198
73,27
3851,211
4309,31
4419,266
4145,198
21,5
5079,325
4374,69
4547,46
358,177
353,5
4005,31
5162,4832
4223,4319
212,213
5988,46
275,27
4783,211
3906,3908
48,27
4611,81
4558,31
4371,266
421,538
4559,198
4537,198
5994,4832
4365,31
4554,198
292,27
5989,976
68,27
151,165
233,168
151,166
230,27
4627,31
4405,69
4195,4372
4907,198
4584,4422
4035,266
3933,3938
231,232
3997,3998
116,27
182,264
4603,5048
26,166
26,165
4496,4832
4659,211
4313,198
4597,198
4193,4387
337,198
42,201
4716,4832
4313,31
4439,198
334,198
5992,1771
3896,295
4442,81
61,207
4370,198
4761,81
151,196
4971,4898
4443,198
4520,198
4435,266
26,5224
4557,4832
4666,31
4071,198
233,27
83,302
5444,31
4175,198
155,2
3974,31
320,31
179,180
3834,211
4262,211
4262,198
4592,211
5999,4832
3919,198
64,27
4479,198
3929,198
4356,3865
4100,198
4266,75
4298,198
433,198
4635,31
338,266
5725,226
4948,46
3937,266
5990,4308
307,3599
4952,198
4441,198
4435,198
4500,226
5581,198
4317,31
4376,4228
188,189
4006,211
33,27
54,207
4560,198
34,250
206,75
151,256
4322,198
191,192
54,196
4220,211
4618,198
4618,211
249,27
30,266
4247,198
26,207
320,69
5984,46
4246,81
4187,232
5997,4832
83,340
5052,46
4518,31
4382,198
3937,198
225,31
3986,211
5608,211
83,555
4297,198
5998,4832
5974,1310
5131,4832
5491,5859
4019,4228
3973,211
4296,31
32,27
4450,75
4281,18
4601,3857
4544,211
151,178
4635,4682
5175,4832
4546,295
4548,3520
34,186
4778,31
3983,198
4200,31
4606,226
5755,5756
4278,198
5317,5722
4592,75
5340,4832
5350,4832
225,81
5671,26
34,113
5100,31
4477,18
5852,3961
239,27
4371,81
4694,266
