date,value
2015-4-23 16:45,1
2015-4-23 16:50,0
2015-4-23 16:55,0
2015-4-23 17:00,0
2015-4-23 17:05,0
2015-4-23 17:10,0
2015-4-23 17:15,0
2015-4-23 17:20,0
2015-4-23 17:25,0
2015-4-23 17:30,0
2015-4-23 17:35,0
2015-4-23 17:40,0
2015-4-23 17:45,1
2015-4-23 17:50,0
2015-4-23 17:55,0
2015-4-23 18:00,1
2015-4-23 18:05,1
2015-4-23 18:10,0
2015-4-23 18:15,0
2015-4-23 18:20,0
2015-4-23 18:25,0
2015-4-23 18:30,0
2015-4-23 18:35,0
2015-4-23 18:40,0
2015-4-23 18:45,1
2015-4-23 18:50,0
2015-4-23 18:55,0
2015-4-23 19:00,0
2015-4-23 19:05,0
2015-4-23 19:10,0
2015-4-23 19:15,1
2015-4-23 19:20,0
2015-4-23 19:25,0
2015-4-23 19:30,0
2015-4-23 19:35,0
2015-4-23 19:40,0
2015-4-23 19:45,0
2015-4-23 19:50,0
2015-4-23 19:55,0
2015-4-23 20:00,1
2015-4-23 20:05,0
2015-4-23 20:10,1
2015-4-23 20:15,0
2015-4-23 20:20,0
2015-4-23 20:25,0
2015-4-23 20:30,0
2015-4-23 20:35,1
2015-4-23 20:40,0
2015-4-23 20:45,0
2015-4-23 20:50,0
2015-4-23 20:55,0
2015-4-23 21:00,0
2015-4-23 21:05,0
2015-4-23 21:10,0
2015-4-23 21:15,0
2015-4-23 21:20,0
2015-4-23 21:25,0
2015-4-23 21:30,0
2015-4-23 21:35,0
2015-4-23 21:40,1
2015-4-23 21:45,0
2015-4-23 21:50,0
2015-4-23 21:55,0
2015-4-23 22:00,0
2015-4-23 22:05,0
2015-4-23 22:10,0
2015-4-23 22:15,0
2015-4-23 22:20,0
2015-4-23 22:25,2
2015-4-23 22:30,0
2015-4-23 22:35,0
2015-4-23 22:40,1
2015-4-23 22:45,1
2015-4-23 22:50,8
2015-4-23 22:55,0
2015-4-23 23:00,2
2015-4-23 23:05,0
2015-4-23 23:10,0
2015-4-23 23:15,1
2015-4-23 23:20,0
2015-4-23 23:25,4
2015-4-23 23:30,7
2015-4-23 23:35,17
2015-4-23 23:40,71
2015-4-23 23:45,142
2015-4-23 23:50,2416
2015-4-23 23:55,3655
2015-4-24 0:00,3608
2015-4-24 0:05,3445
2015-4-24 0:10,4036
2015-4-24 0:15,3393
2015-4-24 0:20,2850
2015-4-24 0:25,2667
2015-4-24 0:30,3049
2015-4-24 0:35,2799
2015-4-24 0:40,2430
2015-4-24 0:45,2364
2015-4-24 0:50,3760
2015-4-24 0:55,2863
2015-4-24 1:00,2193
2015-4-24 1:05,2180
2015-4-24 1:10,2269
2015-4-24 1:15,2314
2015-4-24 1:20,2072
2015-4-24 1:25,3337
2015-4-24 1:30,3406
2015-4-24 1:35,3420
2015-4-24 1:40,4153
2015-4-24 1:45,3532
2015-4-24 1:50,5019
2015-4-24 1:55,4593
2015-4-24 2:00,3360
2015-4-24 2:05,3376
2015-4-24 2:10,3002
2015-4-24 2:15,2557
2015-4-24 2:20,2225
2015-4-24 2:25,2085
2015-4-24 2:30,1793
2015-4-24 2:35,2076
2015-4-24 2:40,2227
2015-4-24 2:45,2275
2015-4-24 2:50,4049
2015-4-24 2:55,2722
2015-4-24 3:00,2507
2015-4-24 3:05,1972
2015-4-24 3:10,2754
2015-4-24 3:15,3235
2015-4-24 3:20,3012
2015-4-24 3:25,4218
2015-4-24 3:30,3282
2015-4-24 3:35,3418
2015-4-24 3:40,3268
2015-4-24 3:45,3197
2015-4-24 3:50,6268
2015-4-24 3:55,5284
2015-4-24 4:00,4337
2015-4-24 4:05,4336
2015-4-24 4:10,4551
